,Discharge
2024-11-15,77.64163192973733
2024-11-25,5.606770260516353
2024-12-05,9.883018664962261
2024-12-15,8.017494916433037
2024-12-25,4.624971457939109
2025-01-05,0.13601107257346828
2025-01-15,0.002479261249245512
2025-01-25,4.1336191450357946e-05
2025-02-05,5.519416266466296e-07
2025-02-15,111.10150685708
2025-02-25,11.631861411018887
2025-03-05,11.232080810745732
2025-03-15,14.667739517348469
2025-03-25,16.675676479199645
2025-04-05,0.22266202275591337
2025-04-15,0.004058767527174436
2025-04-25,7.398474888420628e-05
2025-05-05,1.3486219722639992e-06
2025-05-15,52.17351160749795
2025-05-25,14.422810548841563
2025-06-05,110.2052048768774
2025-06-15,62.34954346904565
2025-06-25,3.833023660951432
2025-07-05,62.74303492638762
2025-07-15,49.494237382534585
2025-07-25,2.7514017989147024
