,Discharge
2055-03-25,8.46177481591854e-08
2055-04-05,4.447740897583236
2055-04-15,6.7052396386766135
2055-04-25,0.22758070728867832
2055-05-05,0.7687425781174138
2055-05-15,73.74283993964966
2055-05-25,53.093665154810644
2055-06-05,120.65054268768968
2055-06-15,83.33759939308342
2055-06-25,69.48684130246244
2055-07-05,45.94717213733635
2055-07-15,92.69378910345692
2055-07-25,14.925157846695829
2055-08-05,27.759095305367516
2055-08-15,20.126869772671714
2055-08-25,3.380888927126024
2055-09-05,24.43593970496396
2055-09-15,109.23458782878402
2055-09-25,69.97776327817965
2055-10-05,4.582025056159685
2055-10-15,206.9062498055408
2055-10-25,53.696515947678265
2055-11-05,0.7169828984610433
2055-11-15,0.013069435325318868
2055-11-25,0.0002382346079513547
2055-12-05,4.3426304972629696e-06
2055-12-15,7.915911041610351e-08
2055-12-25,1.319802882490038e-09
2056-01-05,1.7622672148915504e-11
2056-01-15,3.212327301026461e-13
2056-01-25,5.355844462008618e-15
2056-02-05,7.151393006241221e-17
2056-02-15,1.3035829526983566e-18
2056-02-25,2.902571243677583e-20
2056-03-05,9.649062535274978e-22
2056-03-15,1.758867596778329e-23
2056-03-25,1.3625784974226358
2056-04-05,24.9572016128271
2056-04-15,1.417603064774998
2056-04-25,0.02584060458320306
2056-05-05,9.065174159716356
2056-05-15,19.75068513550033
2056-05-25,73.07206908100815
2056-06-05,50.62615875634181
2056-06-15,7.436541687238791
2056-06-25,54.50013860426968
2056-07-05,12.381242391388238
2056-07-15,42.31246739641949
2056-07-25,402.76259414411123
2056-08-05,395.4988211405593
2056-08-15,7.492682019328326
2056-08-25,0.12492388146745884
2056-09-05,0.0016680465210967793
2056-09-15,3.0405782584062563e-05
2056-09-25,447.0679597327968
2056-10-05,204.82950310009133
2056-10-15,15.147549817702975
2056-10-25,0.25255185166910193
2056-11-05,31.128943475536754
2056-11-15,0.5674301498296328
2056-11-25,0.01034333128551925
2056-12-05,0.00018854215292247458
2056-12-15,3.4368176409866594e-06
2056-12-25,5.730132394519752e-08
2057-01-05,7.651161086114992e-10
2057-01-15,8.346565064514364
2057-01-25,3.9084151689252242
2057-02-05,0.05218712586372711
2057-02-15,0.0009512866593530273
2057-02-25,2.118144684399793e-05
2057-03-05,7.041381176449136e-07
2057-03-15,1.2835295804690642e-08
2057-03-25,2.140001360752641e-10
2057-04-05,23.28330909999763
2057-04-15,90.56733954423949
2057-04-25,79.13143351031809
2057-05-05,13.751224521681436
2057-05-15,15.101697481039352
2057-05-25,19.505010192690108
2057-06-05,2.4354314314568724
2057-06-15,7.111657700262991
2057-06-25,185.85381452867097
2057-07-05,60.32815489825731
2057-07-15,170.66713699089973
2057-07-25,325.1168671559489
2057-08-05,225.5496120304038
2057-08-15,45.97209916060677
2057-08-25,32.01721586218613
2057-09-05,0.6256578205663166
2057-09-15,26.310962359499
2057-09-25,21.473712370121188
2057-10-05,3.270920765008396
2057-10-15,0.059623580261506715
2057-10-25,0.0009940911751012338
2057-11-05,1.327360554925249e-05
2057-11-15,2.419562999788548e-07
2057-11-25,4.41047090650923e-09
2057-12-05,8.039573104260701e-11
2057-12-15,1.4654837786903967e-12
2057-12-25,2.4433696957823694e-14
2058-01-05,3.2625101565265834e-16
2058-01-15,5.947026851050741e-18
2058-01-25,9.915350411347858e-20
2058-02-05,1.3239474762407687e-21
2058-02-15,2.4133415109325662e-23
2058-02-25,5.37357109212457e-25
2058-03-05,10.407368268688597
2058-03-15,19.624999290943478
2058-03-25,0.3272034071239769
2058-04-05,0.004368984525079253
2058-04-15,7.963950159816085e-05
2058-04-25,1.4516989424878802e-06
2058-05-05,2.646211713194721e-08
2058-05-15,4.82361474965902e-10
2058-05-25,73.91529763434191
2058-06-05,17.916168145458123
2058-06-15,58.777695045889686
2058-06-25,69.28335410793241
2058-07-05,69.40407301045514
2058-07-15,3.890922596031001
2058-07-25,409.1604165298457
2058-08-05,76.64799906570832
2058-08-15,8.095814994762266
2058-08-25,0.13497978830266968
2058-09-05,8.627917601286327
2058-09-15,1.321906425759361
2058-09-25,235.10142091467083
2058-10-05,110.59692338663203
2058-10-15,2.0160025301626763
2058-10-25,0.03361237811326683
2058-11-05,0.0004488093847150357
2058-11-15,8.181067134961827e-06
2058-11-25,1.4912758455184375e-07
2058-12-05,2.7183539882258994e-09
2058-12-15,4.955118415892222e-11
2058-12-25,8.261562736111326e-13
2059-01-05,1.1031254247718024e-14
2059-01-15,26.21742981388503
2059-01-25,2.8644893758634793
2059-02-05,0.07550108309744641
2059-02-15,12.943242003324167
2059-02-25,6.675834390747751
2059-03-05,0.2219257964874252
2059-03-15,0.0040453473164253914
2059-03-25,6.744720880296093e-05
2059-04-05,3.9141271061096985
2059-04-15,5.962252463163927
2059-04-25,38.05161280041189
2059-05-05,29.720970365895994
2059-05-15,0.5417650837091779
2059-05-25,33.435340751868345
2059-06-05,34.898077943627634
2059-06-15,53.06203180563839
2059-06-25,36.764276377014866
2059-07-05,50.54275883055534
2059-07-15,24.467203436016188
2059-07-25,21.034721673449035
2059-08-05,3.855934271357456
2059-08-15,0.07028742761697118
2059-08-25,79.40517303071869
2059-09-05,107.56259549071441
2059-09-15,127.50700029096068
2059-09-25,4.867916730826059
2059-10-05,0.11093972611946094
2059-10-15,0.002022251267971719
2059-10-25,3.371656197951984e-05
2059-11-05,4.502005001176017e-07
2059-11-15,8.206424912424738e-09
2059-11-25,1.495898157058319e-10
2059-12-05,2.7267797124452115e-12
2059-12-15,4.970477144529912e-14
2059-12-25,8.287170015198785e-16
