Date,PP01,TX01
2001-08-12,0.0,0,30.830050392668852
2001-08-13,0.0,0,31.204613248985098
2001-08-14,0.0,0,30.909113655422296
2001-08-15,0.0,0,30.8737538772832
2001-08-16,73.83700870360168,1,29.09517777092853
2001-08-17,0.0,0,30.62166422972079
2001-08-18,0.0,0,29.855115017899625
2001-08-19,0.0,0,29.383369324431996
2001-08-20,0.0,0,29.709513804766726
2001-08-21,0.0,0,28.161779329722854
2001-08-22,0.0,0,28.710746742670487
2001-08-23,0.0,0,29.35889887304369
2001-08-24,0.0,0,29.389672712780495
2001-08-25,0.0,0,28.471220796562065
2001-08-26,0.0,0,29.26793763137573
2001-08-27,0.0,0,31.0501147086479
2001-08-28,0.0,0,30.36281114289709
2001-08-29,0.0,0,30.232531428618685
2001-08-30,30.236896774246087,1,28.100418764032003
2001-08-31,0.0,0,29.087585692764407
2001-09-01,0.0,0,28.774174110661583
2001-09-02,0.0,0,28.042446630587015
2001-09-03,0.0,0,28.704325168950977
2001-09-04,0.0,0,27.91499601556683
2001-09-05,0.0,0,27.207229730202226
2001-09-06,0.0,0,28.492218786597075
2001-09-07,0.0,0,29.01733144343181
2001-09-08,0.0,0,28.15466417707349
2001-09-09,0.0,0,28.44715085034349
2001-09-10,0.0,0,27.83797993905453
2001-09-11,0.0,0,28.99537524631236
2001-09-12,0.0,0,30.99823779414614
2001-09-13,0.0,0,31.381764696175473
2001-09-14,0.0,0,30.59426259047426
2001-09-15,16.213083542285364,1,26.38247171417486
2001-09-16,0.0,0,28.40276306615607
2001-09-17,0.0,0,27.941255418431624
2001-09-18,0.0,0,27.25223989475227
2001-09-19,0.0,0,26.355951664285172
2001-09-20,0.0,0,27.412082752689166
2001-09-21,0.0,0,27.743007110623108
2001-09-22,0.0,0,27.71996778011311
2001-09-23,0.0,0,29.385092252808892
2001-09-24,0.0,0,31.101492971185692
2001-09-25,0.0,0,29.341571858719764
2001-09-26,0.0,0,25.96603359295815
2001-09-27,0.0,0,28.30595272878029
2001-09-28,0.22666582140439984,1,26.47367428510705
2001-09-29,0.0,0,27.28436177118824
2001-09-30,0.0,0,28.247103336432446
2001-10-01,0.0,0,27.200226944421477
2001-10-02,0.0,0,24.406803442438953
2001-10-03,0.0,0,26.51295898945221
2001-10-04,0.0,0,25.56473833570523
2001-10-05,0.0,0,25.785218867630903
2001-10-06,0.0,0,23.2641420490442
2001-10-07,0.0,0,24.57876851841775
2001-10-08,0.0,0,26.664130131336975
2001-10-09,0.0,0,25.624393615104324
2001-10-10,0.0,0,25.70507318158538
2001-10-11,0.0,0,25.56253041794774
2001-10-12,0.0,0,23.063135956471175
2001-10-13,0.0,0,22.802382187214555
2001-10-14,0.0,0,23.302495136978234
2001-10-15,0.0,0,24.48240205407801
2001-10-16,0.0,0,24.268224411696593
2001-10-17,0.0,0,24.636518571510724
2001-10-18,0.0,0,25.93102438588017
2001-10-19,0.0,0,26.438271993933903
2001-10-20,0.0,0,25.07764670638586
2001-10-21,2.6748667687612837,1,21.84781323034064
2001-10-22,41.084723157029295,1,22.27956963353475
2001-10-23,0.0,0,22.71093201379164
2001-10-24,0.0,0,22.84575385808655
2001-10-25,0.0,0,20.604321279943942
2001-10-26,0.0,0,21.07219865444808
2001-10-27,0.0,0,22.18386198828501
2001-10-28,0.0010488785954038354,1,21.470414834053248
2001-10-29,7.422655672252319,1,22.37476111662916
2001-10-30,66.56120790685544,1,20.502680193505775
2001-10-31,2.511504662660816,1,20.413539432096414
2001-11-01,7.541284427381724,1,23.697528973558104
2001-11-02,7.295203677803807,1,25.428547367047756
2001-11-03,26.260705367111818,1,24.233074192475023
2001-11-04,0.0,0,25.721891425913704
2001-11-05,0.0,0,24.293960682134767
2001-11-06,14.334225246562744,1,22.14811741160719
2001-11-07,13.193827186800743,1,22.951131455703123
2001-11-08,6.5651267278982735,1,20.96184435613718
2001-11-09,40.39412383507255,1,18.253394776326125
2001-11-10,0.0,0,21.270640399220387
2001-11-11,0.0,0,21.365609047708652
2001-11-12,0.0,0,23.204715747741737
2001-11-13,0.0,0,22.61686045212971
2001-11-14,0.0,0,24.753426989328236
2001-11-15,0.0,0,23.43521640690005
2001-11-16,4.817223890809672,1,21.449232156677237
2001-11-17,20.275538927422787,1,21.56412939630123
2001-11-18,6.269814845063883,1,20.651276520877502
2001-11-19,5.829710296490717,1,21.03981552370907
